call_id,agent_id,call_duration,hold_time,csat_score,first_call_res,repeat_call,issue_type,channel
1,39,797,169,5,1,0,Tech,Voice
2,29,650,229,4,1,0,Tech,Voice
3,15,490,128,5,1,0,General,Voice
4,43,649,0,2,0,1,Tech,Chat
5,8,599,154,4,1,1,Tech,Voice
6,21,492,96,5,1,0,Billing,Voice
7,39,805,54,2,0,1,Tech,Voice
8,19,759,71,5,1,0,Tech,Chat
9,23,684,74,3,0,0,Tech,Voice
10,11,974,35,4,1,0,Tech,Voice
11,11,308,116,5,1,0,General,Voice
12,24,586,229,4,1,0,Billing,Email
13,36,728,54,5,1,0,Tech,Chat
14,40,604,227,4,1,0,Tech,Voice
15,24,593,132,5,1,0,Billing,Voice
16,3,523,114,4,1,1,Billing,Voice
17,22,937,100,4,1,0,Tech,Voice
18,2,654,71,5,1,0,Billing,Chat
19,24,778,137,3,0,0,Billing,Chat
20,44,492,151,3,0,0,Billing,Voice
21,30,959,0,4,1,0,Tech,Chat
22,38,575,272,1,0,1,Tech,Voice
23,2,733,11,5,1,0,Tech,Voice
24,21,494,88,5,1,0,General,Voice
25,33,840,0,5,1,0,Tech,Voice
26,12,836,103,3,0,0,Tech,Voice
27,22,441,92,2,0,1,General,Voice
28,44,848,89,3,0,0,Tech,Voice
29,25,692,138,5,1,0,Tech,Voice
30,49,627,105,2,0,1,Tech,Chat
31,27,548,152,5,1,0,Billing,Email
32,42,528,45,5,1,0,Tech,Voice
33,28,889,124,5,1,0,Tech,Chat
34,16,741,82,5,1,0,Tech,Chat
35,15,545,97,5,1,0,Billing,Chat
36,47,539,136,2,0,1,General,Voice
37,44,997,89,3,1,1,Tech,Voice
38,3,977,113,3,1,1,Tech,Voice
39,37,712,50,5,1,0,General,Voice
40,7,737,185,2,0,0,Tech,Voice
41,21,416,163,5,1,0,General,Chat
42,9,747,125,4,1,1,Tech,Voice
43,39,587,105,5,1,0,Billing,Voice
44,18,871,113,3,0,0,Tech,Voice
45,4,796,184,4,1,0,Tech,Voice
46,25,596,159,5,1,0,Tech,Chat
47,14,485,185,3,1,1,General,Chat
48,50,656,99,5,1,0,Tech,Chat
49,9,830,149,5,1,0,Tech,Voice
50,26,617,191,4,1,0,General,Voice
51,2,854,64,3,0,0,Tech,Chat
52,20,795,60,2,0,1,Tech,Voice
53,28,302,136,5,1,0,General,Voice
54,47,342,45,4,1,1,Billing,Voice
55,7,728,11,2,0,1,Tech,Email
56,44,561,190,2,0,0,General,Chat
57,8,938,200,1,0,1,Tech,Voice
58,47,761,49,5,1,0,Tech,Voice
59,35,603,34,5,1,0,Tech,Chat
60,14,849,80,2,0,1,Tech,Voice
61,17,547,195,1,0,1,General,Voice
62,36,501,95,5,1,0,Billing,Voice
63,50,356,125,2,0,1,Billing,Voice
64,40,560,139,5,1,0,Billing,Voice
65,4,784,130,5,1,0,Tech,Voice
66,2,600,209,4,1,0,Tech,Email
67,6,639,76,4,1,1,General,Voice
68,42,848,113,5,1,0,Tech,Voice
69,4,757,133,2,0,1,Tech,Voice
70,29,551,117,5,1,0,Billing,Voice
71,18,891,46,2,0,1,Tech,Email
72,26,805,31,2,0,1,Tech,Voice
73,44,465,30,5,1,0,Billing,Email
74,34,526,163,5,1,0,Billing,Voice
75,10,616,70,5,1,0,Billing,Chat
76,36,306,148,5,1,0,Billing,Chat
77,14,610,125,2,0,1,Tech,Email
78,31,631,61,5,1,0,Billing,Chat
79,48,931,63,4,1,0,Tech,Voice
80,15,672,128,5,1,0,General,Chat
81,8,883,124,4,1,1,Tech,Chat
82,14,565,149,5,1,0,General,Chat
83,23,595,92,3,0,0,Tech,Voice
84,40,720,69,5,1,0,Tech,Voice
85,21,310,126,2,0,1,General,Voice
86,16,706,205,1,0,1,Billing,Voice
87,45,451,7,2,0,1,General,Chat
88,18,485,72,5,1,0,Billing,Voice
89,47,908,155,2,0,0,Tech,Voice
90,24,356,132,5,1,0,Billing,Chat
91,26,571,156,5,1,0,Tech,Chat
92,25,790,94,2,0,1,Tech,Voice
93,45,828,23,5,1,0,Tech,Voice
94,41,739,220,1,0,1,Tech,Email
95,29,744,185,2,0,0,Tech,Voice
96,15,702,118,5,1,0,Billing,Chat
97,45,845,69,5,1,0,Tech,Voice
98,1,610,90,3,0,0,General,Voice
99,25,866,133,5,1,0,Tech,Chat
100,7,513,104,2,0,1,General,Chat
101,9,810,119,4,1,1,General,Voice
102,24,403,216,4,1,0,Tech,Chat
103,1,968,175,4,1,0,Tech,Voice
104,44,658,49,4,1,1,Billing,Voice
105,8,579,124,5,1,0,Billing,Chat
106,24,559,88,5,1,0,Billing,Chat
107,11,726,137,5,1,0,Tech,Chat
108,17,915,116,1,0,1,Tech,Voice
109,8,744,298,1,0,1,Tech,Chat
110,35,640,145,5,1,0,Tech,Voice
111,35,885,111,2,0,1,Tech,Voice
112,33,987,230,1,0,1,Tech,Voice
113,5,460,132,5,1,0,Tech,Email
114,42,832,28,5,1,0,Billing,Voice
115,39,425,112,5,1,0,Billing,Voice
116,41,605,156,5,1,0,Tech,Chat
117,28,563,149,5,1,0,Tech,Voice
118,7,750,180,4,1,0,Tech,Chat
119,9,558,129,5,1,0,Tech,Voice
120,8,576,124,2,0,1,Tech,Chat
121,12,467,35,5,1,0,Billing,Voice
122,34,566,211,4,1,0,Billing,Voice
123,33,785,101,2,0,1,Tech,Chat
124,48,936,61,3,1,1,Tech,Chat
125,23,932,277,1,0,1,Tech,Voice
126,24,672,220,4,1,0,General,Voice
127,37,710,93,2,0,1,Tech,Voice
128,35,473,7,5,1,0,Tech,Voice
129,44,470,76,5,1,0,Tech,Voice
130,40,902,214,1,0,0,Tech,Voice
131,22,876,130,3,0,0,Tech,Voice
132,27,657,39,5,1,0,Tech,Voice
133,35,533,167,2,0,1,Tech,Voice
134,1,424,107,5,1,0,Billing,Voice
135,35,776,81,5,1,0,Tech,Chat
136,37,571,85,5,1,0,General,Chat
137,47,675,198,4,1,0,General,Voice
138,14,682,152,5,1,0,Tech,Voice
139,3,713,30,2,0,1,Tech,Voice
140,1,918,142,1,0,1,Tech,Voice
141,5,431,126,2,0,1,Tech,Voice
142,26,588,94,2,0,1,Billing,Voice
143,14,699,97,5,1,0,Tech,Email
144,39,856,68,5,1,0,Tech,Voice
145,27,611,80,2,0,1,General,Chat
146,9,645,137,3,0,0,Tech,Voice
147,15,673,103,5,1,0,Tech,Voice
148,15,404,152,5,1,0,Tech,Voice
149,26,862,72,2,0,1,Tech,Voice
150,42,785,162,5,1,0,Tech,Voice
151,13,717,198,4,1,0,Billing,Chat
152,32,690,119,3,0,0,Tech,Chat
153,39,659,151,3,0,0,General,Voice
154,49,589,153,2,0,1,Tech,Chat
155,32,225,89,5,1,0,Billing,Voice
156,4,735,153,5,1,0,Tech,Voice
157,30,481,0,5,1,0,General,Chat
158,37,423,0,5,1,0,Billing,Chat
159,23,884,100,3,0,0,Tech,Voice
160,39,694,158,5,1,0,General,Voice
161,45,765,114,3,0,0,Tech,Voice
162,15,528,164,2,0,1,General,Voice
163,43,759,47,5,1,0,Tech,Email
164,29,652,172,3,0,0,Tech,Voice
165,36,834,217,4,1,0,Tech,Email
166,13,365,78,5,1,0,Billing,Email
167,32,421,166,5,1,0,Billing,Voice
168,7,631,121,2,0,1,Tech,Voice
169,22,614,146,3,0,0,Billing,Chat
170,28,704,217,4,1,0,Tech,Voice
171,2,713,139,5,1,0,General,Voice
172,42,646,165,2,0,1,General,Voice
173,45,629,44,5,1,0,Tech,Voice
174,6,626,164,5,1,0,General,Voice
175,28,688,216,1,0,1,Tech,Voice
176,28,820,64,2,0,1,Tech,Chat
177,44,652,100,5,1,0,Billing,Email
178,44,917,161,4,1,0,Tech,Voice
179,20,780,146,2,0,1,Tech,Voice
180,30,990,38,4,1,0,Tech,Voice
181,11,816,129,5,1,0,Tech,Voice
182,28,566,100,4,1,1,Billing,Chat
183,25,704,61,3,0,0,Tech,Chat
184,39,474,201,1,0,1,General,Voice
185,33,812,120,4,1,1,Tech,Chat
186,1,562,178,2,0,1,General,Chat
187,27,581,49,5,1,0,General,Voice
188,13,607,155,3,0,0,General,Chat
189,41,580,183,4,1,0,General,Voice
